Time (BJD_TBD - 2450000), F_b/F_star (ppm)
9.882514745547439816e+03,7.362699282139586785e+02
9.882514763563129236e+03,7.362925061179711292e+02
9.882514781578820475e+03,7.363150823039802617e+02
9.882514799594511715e+03,7.363376567695797803e+02
9.882514817610201135e+03,7.363602295123640715e+02
9.882514835625892374e+03,7.363828005367643073e+02
9.882514853641581794e+03,7.364053698380962487e+02
9.882514871657273034e+03,7.364279374207907267e+02
9.882514889672962454e+03,7.364505032801638436e+02
9.882514907688653693e+03,7.364730674206454069e+02
9.882514925704344932e+03,7.364956298398308263e+02
9.882514943720034353e+03,7.365181905353153979e+02
9.882514961735725592e+03,7.365407495115280199e+02
9.882514979751415012e+03,7.365633067637870681e+02
9.882514997767106252e+03,7.365858622965208724e+02
9.882515015782795672e+03,7.366084161050479224e+02
9.882515033798486911e+03,7.366309681937963205e+02
9.882515051814178150e+03,7.366535185603618174e+02
9.882515069829867571e+03,7.366760672023416419e+02
9.882515087845558810e+03,7.366986141241623045e+02
9.882515105861248230e+03,7.367211593211443414e+02
9.882515123876939469e+03,7.367437027977138086e+02
9.882515141892628890e+03,7.367662445491918106e+02
9.882515159908320129e+03,7.367887845800039486e+02
9.882515177924011368e+03,7.368113228877475649e+02
9.882515195939700789e+03,7.368338594700207977e+02
9.882515213955392028e+03,7.368563943312479978e+02
9.882515231971081448e+03,7.368789274667520885e+02
9.882515249986772687e+03,7.369014588809569659e+02
9.882515268002462108e+03,7.369239885691861218e+02
9.882515286018153347e+03,7.369465165358626564e+02
9.882515304033844586e+03,7.369690427785853899e+02
9.882515322049534007e+03,7.369915672949535974e+02
9.882515340065225246e+03,7.370140900893893559e+02
9.882515358080914666e+03,7.370366111572182035e+02
9.882515376096605905e+03,7.370591305028613078e+02
9.882515394112295326e+03,7.370816481216451166e+02
9.882515412127986565e+03,7.371041640179900014e+02
9.882515430143677804e+03,7.371266781894961468e+02
9.882515448159367224e+03,7.371491906337641922e+02
9.882515466175058464e+03,7.371717013552140543e+02
9.882515484190747884e+03,7.371942103491733178e+02
9.882515502206439123e+03,7.372167176200609902e+02
9.882515520222128544e+03,7.372392231632059065e+02
9.882515538237819783e+03,7.372617269830265059e+02
9.882515556253511022e+03,7.372842290771237685e+02
9.882515574269200442e+03,7.373067294431000391e+02
9.882515592284891682e+03,7.373292280853721650e+02
9.882515610300581102e+03,7.373517249992709139e+02
9.882515628316272341e+03,7.373742201892130197e+02
9.882515646331961761e+03,7.373967136505293638e+02
9.882515664347653001e+03,7.374192053876359978e+02
9.882515682363344240e+03,7.374416953981356073e+02
9.882515700379033660e+03,7.374641836796313328e+02
9.882515718394724900e+03,7.374866702365380888e+02
9.882515736410414320e+03,7.375091550641890308e+02
9.882515754426105559e+03,7.375316381669981638e+02
9.882515772441794979e+03,7.375541195402992116e+02
9.882515790457486219e+03,7.375765991885059520e+02
9.882515808473177458e+03,7.375990771092222076e+02
9.882515826488866878e+03,7.376215533000521418e+02
9.882515844504558117e+03,7.376440277654088504e+02
