Time (BJD_TBD - 2450000), F_d/F_star (ppm)
1.014847392078548728e+04,1.227808406272199587e-01
1.014847394166025879e+04,1.229369261775704603e-01
1.014847396253503211e+04,1.230931108261380802e-01
1.014847398340980544e+04,1.232493945591766893e-01
1.014847400428457695e+04,1.234057773628771532e-01
1.014847402515935028e+04,1.235622592643326884e-01
1.014847404603412178e+04,1.237188402361140277e-01
1.014847406690889511e+04,1.238755203053353987e-01
1.014847408778366844e+04,1.240322994582086780e-01
1.014847410865843995e+04,1.241891776808721898e-01
1.014847412953321327e+04,1.243461550005241778e-01
1.014847415040798660e+04,1.245032314033135135e-01
1.014847417128275811e+04,1.246604068753995181e-01
1.014847419215753143e+04,1.248176814439804633e-01
1.014847421303230476e+04,1.249750550952261757e-01
1.014847423390707627e+04,1.251325278152224940e-01
1.014847425478184960e+04,1.252900996312621973e-01
1.014847427565662110e+04,1.254477705157269751e-01
1.014847429653139443e+04,1.256055404959096067e-01
1.014847431740616776e+04,1.257634095579168998e-01
1.014847433828093926e+04,1.259213776878136959e-01
1.014847435915571259e+04,1.260794449129767902e-01
1.014847438003048592e+04,1.262376112194604771e-01
1.014847440090525743e+04,1.263958765933191342e-01
1.014847442178003075e+04,1.265542410619505120e-01
1.014847444265480408e+04,1.267127046114299438e-01
1.014847446352957559e+04,1.268712672277382825e-01
1.014847448440434891e+04,1.270299289383677588e-01
1.014847450527912042e+04,1.271886897154901053e-01
1.014847452615389375e+04,1.273475495866080720e-01
1.014847454702866708e+04,1.275065085377234952e-01
1.014847456790343858e+04,1.276655665548067087e-01
1.014847458877821191e+04,1.278247236654130037e-01
1.014847460965298524e+04,1.279839798555126862e-01
1.014847463052775674e+04,1.281433351110655983e-01
1.014847465140253007e+04,1.283027894596585061e-01
1.014847467227730340e+04,1.284623428872407602e-01
